court,abbreviation,url
Alabama Middle,almd,https://www.almd.uscourts.gov
Alabama Northern,alnd,https://www.alnd.uscourts.gov
Alabama Southern,alsd,https://www.alsd.uscourts.gov
Alaska,akd,https://www.akd.uscourts.gov
Arizona,azd,https://www.azd.uscourts.gov
Arkansas Western,arwd,https://www.arwd.uscourts.gov
California Central,cacd,https://www.cacd.uscourts.gov
California Eastern,caed,https://www.caed.uscourts.gov
California Northern,cand,https://www.cand.uscourts.gov
California Southern,casd,https://www.casd.uscourts.gov
Colorado,cod,http://www.cod.uscourts.gov/Home.aspx
Connecticut,ctd,https://www.ctd.uscourts.gov
Delaware,ded,https://www.ded.uscourts.gov
District of Columbia,dcd,https://www.dcd.uscourts.gov
Florida Middle,flmd,https://www.flmd.uscourts.gov
Florida Northern,flnd,http://www.flnd.uscourts.gov
Florida Southern,flsd,https://www.flsd.uscourts.gov
Georgia Middle,gamd,https://www.gamd.uscourts.gov
Georgia Northern,gand,https://www.gand.uscourts.gov
Georgia Southern,gasd,https://www.gasd.uscourts.gov
Guam,gud,https://www.gud.uscourts.gov
Hawaii,hid,https://www.hid.uscourts.gov
Idaho,id,https://www.id.uscourts.gov
Illinois Central,ilcd,https://www.ilcd.uscourts.gov
Illinois Northern,ilnd,https://www.ilnd.uscourts.gov
Illinois Southern,ilsd,https://www.ilsd.uscourts.gov
Indiana Northern,innd,https://www.innd.uscourts.gov
Indiana Southern,insd,https://www.insd.uscourts.gov
Iowa Northern,iand,https://www.iand.uscourts.gov
Iowa Southern,iasd,https://www.iasd.uscourts.gov
Kansas,ksd,https://www.ksd.uscourts.gov
Kentucky Eastern,kyed,https://www.kyed.uscourts.gov
Kentucky Western,kywd,https://www.kywd.uscourts.gov
Louisiana Eastern,laed,https://www.laed.uscourts.gov
Louisiana Middle,lamd,https://www.lamd.uscourts.gov
Louisiana Western,lawd,https://www.lawd.uscourts.gov
Maine,med,https://www.med.uscourts.gov
Maryland,mdd,https://www.mdd.uscourts.gov
Massachusetts,mad,https://www.mad.uscourts.gov
Michigan Eastern,mied,https://www.mied.uscourts.gov
Michigan Western,miwd,https://www.miwd.uscourts.gov
Minnesota,mnd,https://www.mnd.uscourts.gov
Mississippi Northern,msnd,https://www.msnd.uscourts.gov
Mississippi Southern,mssd,https://www.mssd.uscourts.gov
Missouri Eastern,moed,https://www.moed.uscourts.gov
Montana,mtd,https://www.mtd.uscourts.gov
Nebraska,ned,https://www.ned.uscourts.gov
Nevada,nvd,https://www.nvd.uscourts.gov
New Hampshire,nhd,https://www.nhd.uscourts.gov
New Jersey,njd,https://www.njd.uscourts.gov
New Mexico,nmd,https://www.nmd.uscourts.gov/
New York Eastern,nyed,https://www.nyed.uscourts.gov
New York Northern,nynd,https://www.nynd.uscourts.gov
New York Southern,nysd,https://www.nysd.uscourts.gov
New York Western,nywd,https://www.nywd.uscourts.gov
North Carolina Eastern,nced,https://www.nced.uscourts.gov
North Carolina Middle,ncmd,https://www.ncmd.uscourts.gov
North Carolina Western,ncwd,https://www.ncwd.uscourts.gov
North Dakota,ndd,https://www.ndd.uscourts.gov
Northern Mariana Islands,nmid,https://www.nmid.uscourts.gov
Ohio Northern,ohnd,https://www.ohnd.uscourts.gov
Ohio Southern,ohsd,https://www.ohsd.uscourts.gov
Oklahoma Eastern,oked,https://www.oked.uscourts.gov
Oklahoma Northern,oknd,https://www.oknd.uscourts.gov
Oklahoma Western,okwd,https://www.okwd.uscourts.gov
Oregon,ord,https://www.ord.uscourts.gov
Pennsylvania Eastern,paed,https://www.paed.uscourts.gov
Pennsylvania Middle,pamd,https://www.pamd.uscourts.gov
Pennsylvania Western,pawd,https://www.pawd.uscourts.gov
Puerto Rico,prd,https://www.prd.uscourts.gov
Rhode Island,rid,https://www.rid.uscourts.gov
South Carolina,scd,https://www.scd.uscourts.gov
South Dakota,sdd,https://www.sdd.uscourts.gov
Tennessee Eastern,tned,https://www.tned.uscourts.gov
Tennessee Middle,tnmd,https://www.tnmd.uscourts.gov
Tennessee Western,tnwd,https://www.tnwd.uscourts.gov
Texas Eastern,txed,https://www.txed.uscourts.gov
Texas Northern,txnd,https://www.txnd.uscourts.gov
Texas Western,txwd,https://www.txwd.uscourts.gov
Utah,utd,https://www.utd.uscourts.gov
Vermont,vtd,https://www.vtd.uscourts.gov
Virgin Islands,vid,https://www.vid.uscourts.gov
Virginia Eastern,vaed,https://www.vaed.uscourts.gov
Virginia Western,vawd,http://www.vawd.uscourts.gov
Washington Eastern,waed,https://www.waed.uscourts.gov
Washington Western,wawd,https://www.wawd.uscourts.gov
West Virginia Northern,wvnd,https://www.wvnd.uscourts.gov
West Virginia Southern,wvsd,https://www.wvsd.uscourts.gov
Wisconsin Eastern,wied,https://www.wied.uscourts.gov
Wisconsin Western,wiwd,https://www.wiwd.uscourts.gov
Wyoming,wyd,https://www.wyd.uscourts.gov
